,Acetate,Fructose,Galactose,Glucose,Glycerol,Gluconate,Pyruvate,Succinate
b0002,0.351651173046,1.14569684903,0.253002808149,1.41424687978,0.880174326508,1.23569610365,0.956144334909,1.02043345662
b0003,0.339080199939,1.10244450115,0.273591815736,1.35682056993,0.881309875251,1.39825237227,1.08527286783,1.02247317006
b0004,0.408053187226,1.18302761303,0.324222966583,1.15226323764,0.728695155229,1.0064874861,1.17443439068,0.935691394355
b0005,0.282082580742,1.05988085104,0.260933054556,2.08086977911,0.88058699804,1.43039925973,0.866975732093,1.63442369188
b0006,0.668095186199,0.971421291066,0.765315341337,1.32715796709,1.00266987874,1.03059051223,0.996099693419,1.12505159958
b0007,1.77168128142,0.896791430927,1.42840292371,0.915460563754,1.14457563726,0.831911074115,1.32951066299,0.732991023113
b0008,1.06299773881,2.1007943627,0.84001759442,1.07457029469,0.967403211342,0.897952258976,1.51551841988,1.02355606092
b0009,0.688035279426,0.751415061488,0.927228426147,1.11296380025,1.36951298312,1.17618051774,0.82270973733,1.57871489066
b0010,1.23410313267,0.922088088987,1.19640770772,0.812070763595,0.986563324335,0.765867630944,0.929434452423,1.07752501036
b0011,0.984185847561,0.611980544933,0.821947363752,1.11317679497,1.63821369609,1.1468548712,0.539083972288,1.11294453273
b0013,0.608105397098,0.696141920808,1.08409135208,1.15138210269,1.36905731911,1.1222070194,0.464515223899,1.141226732
b0014,1.1693458567,1.37773705987,0.89579019738,1.02574491978,0.805194469938,0.926635267416,1.03099326123,1.26356402436
b0015,0.900534938947,0.813274846456,1.01517663075,1.16946752421,1.15895057581,1.10456186934,0.732734993112,1.3111366475
b0016,1.31495065702,1.27510799588,0.488257159444,1.10947744675,0.740964485096,0.980569590188,1.48049636363,0.952452515513
b0018,1.59152348944,0.925697891509,1.35688587818,0.557343558504,1.04208657894,0.637048512125,0.871795168263,1.20181497538
b0019,1.92597354822,0.887415673305,1.32959488119,0.989476426008,1.0145889464,0.845195450091,0.958678604394,1.09636102028
b0020,1.34393538638,1.96709325933,0.526309648428,0.960609094921,0.618666750398,0.539713414931,1.4744502309,0.685380777472
b0021,1.12508551162,0.999304598007,1.00069109919,0.940218161899,1.00571271457,1.03453987566,1.37582913209,0.821618770158
b0022,1.63831972787,1.28950094286,0.937356406969,0.899921840583,0.979062015729,1.00567397011,1.88909642765,0.686123909334
b0023,0.8305949095,1.42784063162,0.49772930785,1.38820929989,0.841410668091,1.00533891585,1.33836597628,1.16006870949
b0024,1.43209338203,0.772958458579,1.35453399257,1.0962905032,1.09009080645,0.962678139434,0.850088116668,0.534880216822
b0025,0.774079928884,1.06741692497,0.899952248417,1.17422483557,0.989578126058,0.87535492577,1.02364100208,1.12776870611
b0026,0.595117853777,0.995410901319,0.914089884629,1.25826960192,1.03224056221,1.27641244672,0.877899791614,1.33769630921
b0027,0.922454491551,1.32008249341,0.43503836303,1.00847309299,0.855243221135,1.01882374854,1.28154752533,0.969328915974
b0028,0.960062326083,1.32303083689,0.727697811993,1.01175497427,0.975718124845,1.11866191188,1.46551539867,0.852817163099
b0029,0.884421147418,1.30808331363,0.756708151765,1.08366797042,1.0167537417,1.07730801926,1.14430397407,0.877558065694
b0030,1.36151851177,0.928476576121,1.04767063716,0.225017799649,0.788282538827,0.344871756431,1.08271057413,1.38746901354
b0031,0.961467809354,2.34337615192,0.3800054461,1.83742063888,0.697923841944,1.01682848566,1.38375501919,0.761688178934
b0032,0.521092046501,1.87039248833,0.407171377932,1.41894233274,0.70969673782,1.04161499956,1.05384309834,1.11849258954
b0033,0.292541833289,1.20741979695,0.386325381079,1.32228567727,0.660299987156,1.0958818904,1.15555709998,0.921043201769
b0034,0.687570041108,1.3396637085,0.316508006904,1.26217592981,0.807509394939,1.09081019406,0.982083277,1.33553480302
b0035,1.17323469553,0.826010935717,1.26480562329,0.801059323845,0.946713160077,0.77008929393,1.26752712312,1.24319695394
b0036,1.24908032953,0.982413833674,0.822353822785,0.76380808063,0.785344099894,0.559036964558,1.31345190963,1.33507045265
b0037,1.24166369753,0.932349564484,0.724186700273,1.04947083106,0.877042442221,1.46670528838,0.860940761469,1.35598796785
b0038,0.779683989078,0.766678058941,0.930262499881,1.15218016909,1.08438929711,1.13061221038,0.575446039907,1.068858867
b0039,1.16925361486,0.929289222952,1.12766996252,0.962067858662,0.995410901319,1.12305672396,0.860966578232,1.11931592889
b0040,0.983985902207,1.01341648491,1.10817633741,1.35273999965,1.05684996132,0.942811163334,0.668659840397,1.00733556224
b0041,1.35659763516,1.1669680722,1.27636039047,0.72297082927,1.07643248801,0.71967089249,1.13071561315,0.995486895724
b0042,1.36686073697,0.998863223289,0.83522399237,0.84952949757,1.2730374078,1.5018914468,1.21335053085,0.732585670462
b0043,0.964924271252,0.592508656941,2.24734053381,0.878050105555,1.52866928259,1.44325289177,0.681977760779,0.928754879225
b0044,1.06203338357,0.654416137135,1.63073961605,1.00093489688,1.21995598374,1.13059981105,0.932225350179,1.0469528389
b0045,0.525264289792,0.383668383895,1.00779966859,1.53171786149,1.23587293443,0.948771262096,0.360562226735,1.58351989589
b0046,1.661189819,0.97152371049,1.13120069371,0.962959859891,1.00725507748,0.843941441881,0.987800914864,0.879392022404
b0047,0.760799334325,0.665314775975,1.00642014199,1.14701716476,1.09470871263,0.996655603875,0.734669338517,1.00890446046
b0048,1.15851319419,1.55165049819,0.755513343035,0.804471343516,0.947437839733,0.895039405017,1.36554696283,1.09546055109
b0049,1.38674021435,0.938430046375,1.21538330358,0.994649261732,0.848280638053,0.968954768976,1.28042667959,0.784733039408
b0050,1.03901508338,0.895907603852,1.04762986457,1.20690927012,0.927832527831,0.788130260455,1.14584588797,0.809578665564
b0051,0.687540214543,0.944504002231,0.895019593573,1.63098676723,1.07074381297,1.3628895166,0.970987969542,1.32820600932
b0052,1.14938829387,1.27626450791,0.739453240418,1.16030270159,0.852416115139,1.02365917341,1.03693041078,0.961702745699
