b0334,prpD
b0335,prpE
b0336,codB
b0337,codA
b0338,cynR
b0339,cynT
b0340,cynS
b0341,cynX
b0342,lacA
b0343,lacY
b0344,lacZ
b0345,lacI
b0346,mhpR
b0347,mhpA
b0348,mhpB
b0349,mhpC
b0350,mhpD
b0351,mhpF
b0352,mhpE
b0353,mhpT
b0354,yaiL
b0355,frmB
b0356,frmA
b0357,frmR
b0358,yaiO
b4579,yaiX
b0360,insC
b0361,insD
b0363,yaiP
b0364,yaiS
b0365,tauA
b0366,tauB
b0367,tauC
b0368,tauD
b0369,hemB
b4580,yaiT
b0372,insF
b0373,insE
b0375,yaiV
b0376,ampH
b0377,sbmA
b0378,yaiW
b0379,yaiY
b0380,yaiZ
b0381,ddlA
b0382,iraP
b0383,phoA
b0384,psiF
b0385,adrA
b0386,proC
b0387,yaiI
b0388,aroL
b0389,yaiA
b0390,aroM
b0391,yaiE
b0392,ykiA
b0393,rdgC
b0394,mak
b0396,araJ
b0397,sbcC
b0398,sbcD
b0399,phoB
b0400,phoR
b0401,brnQ
b0402,proY
b0403,malZ
b0404,acpH
b0405,queA
b0406,tgt
b0407,yajC
b0408,secD
b0409,secF
b0410,yajD
b0411,tsx
b0412,yajI
b0413,nrdR
b0414,ribD
b0415,ribE
b0416,nusB
b0417,thiL
b0418,pgpA
b0419,yajO
b0420,dxs
b0421,ispA
b0422,xseB
b0423,thiI
b0424,yajL
b0425,panE
b0426,yajQ
b0427,yajR
b0428,cyoE
b0429,cyoD
b0430,cyoC
b0431,cyoB
b0432,cyoA
b0433,ampG
b0434,yajG
b0435,bolA
b0436,tig
b0437,clpP
b0438,clpX
b0439,lon
b0440,hupB
b0441,ppiD
b0442,ybaV
b0443,fadM
b0444,queC
b0445,ybaE
b0446,cof
b0447,ybaO
b0448,mdlA
b0449,mdlB
b0450,glnK
b0451,amtB
b0452,tesB
b0453,ybaY
b0454,ybaZ
b0455,ffs
b0456,ybaA
b0457,ylaB
b0458,ylaC
b0459,maa
b0460,hha
b0461,tomB
b0462,acrB
b0463,acrA
b0464,acrR
b0465,kefA
b0466,ybaM
b0467,priC
b0468,ybaN
b0469,apt
b0470,dnaX
b0471,ybaB
b0472,recR
b0473,htpG
b0474,adk
b0475,hemH
b0476,aes
b0477,gsk
b0478,ybaL
b0479,fsr
b0480,ushA
b0481,ybaK
b4585,chiX
b0482,ybaP
b0483,ybaQ
b0484,copA
b0485,ybaS
b0486,ybaT
b0487,cueR
b0488,ybbJ
b0489,qmcA
b0490,ybbL
b0491,ybbM
b0492,ybbN
b0493,ybbO
b0494,tesA
b0495,ybbA
b0496,ybbP
b0497,rhsD
b0498,ybbC
b0499,ylbH
b0501,ybbD
b4632,ylbI
b0502,ylbG
b0503,selU
b0504,allS
b0505,allA
b0506,allR
b0507,gcl
b0508,hyi
b0509,glxR
b0511,ybbW
b0512,allB
b0513,ybbY
b0514,glxK
b0515,ylbA
b0516,allC
b0517,allD
b0518,fdrA
b4572,ylbE
b0520,ylbF
b0521,ybcF
b0522,purK
b0523,purE
b0524,lpxH
b0525,ppiB
b0526,cysS
b0527,ybcI
b0528,ybcJ
b0529,folD
b0530,sfmA
b0531,sfmC
b0532,sfmD
b0533,sfmH
b0534,sfmF
b0535,fimZ
b0536,argU
b0537,intD
b4633,xisD
b0539,exoD
b4508,peaD
b0542,renD
b0540,insE
b0541,insF
b0543,emrE
b0544,ybcK
b0545,ybcL
b0546,ybcM
b4588,ylcH
b0547,ybcN
b0548,ninE
b0549,ybcO
b0550,rusA
b4509,ylcG
b0551,quuD
b0553,nmpC
b0552,insH
b0554,essD
b0555,rrrD
b0556,rzpD
b4510,rzoD
b0557,borD
b0558,ybcV
b0559,ybcW
b4589,ylcI
b0560,nohD
b4634,aaaD
b0561,tfaD
b0562,ybcY
b0563,tfaX
b0564,appY
b0565,ompT
b4635,pauD
b0566,envY
b0567,ybcH
b0568,nfrA
b0569,nfrB
b0570,cusS
b0571,cusR
b0572,cusC
b0573,cusF
b0574,cusB
b0575,cusA
b0576,pheP
b0577,mscM
b0578,nfsB
b0579,ybdF
b0580,ybdJ
b0581,ybdK
b4700,sokE
b4415,hokE
b0582,insL
b0583,entD
b0584,fepA
b0585,fes
b4511,ybdZ
b0586,entF
b0587,fepE
b0588,fepC
b0589,fepG
b0590,fepD
b0591,entS
b0592,fepB
b0593,entC
b0594,entE
b0595,entB
b0596,entA
b0597,entH
b0598,cstA
b4512,ybdD
b0599,ybdH
b0600,ybdL
b0601,ybdM
b0602,ybdN
b0603,ybdO
b0604,dsbG
b0605,ahpC
b0606,ahpF
